"title","url","stars","name","reviewUrl","text"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Sara Overton","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIbEo2NHl3RRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDHlJ64ywE%7CCgsIne2NtwYQ8L7LAQ%7C?hl=en","I Love this gym , I'm so glad I found it I have been to multiple Muay Thai gyms in the years and can say this one has a great vibe , The trainer Franz is very respectful and has a real eye for detail, he makes the effort for all his students not just the fighters , he is always helping correct form and will even pair you up with someone that is your level to ensure you get the most of your class. You will also find often other gyms coming to spar here too so you will get a good mix of new styles to help perfect your sparring skills. This gym was recently updated and is exceptionally clean and quality equipment. It's obvious Franz puts alot of pride into his gym and he even holds in house family events for members , I have never seen this happen in other gyms.  There is one thing for sure you will progress fast here , Franz is a professional fighter with great teaching skills . I will add the membership price is also very competitive. If your looking for a Muay Thai gym this is the spot ."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Robert Bordignon","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURILUpfYWp3RRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH-J_ajwE%7CCgwI5rqLtwYQyKDPkQI%7C?hl=en","Great gym with an experienced attentive head coach in Franz. As someone who came to the gym with no prior experience head coach Franz has always ensured his coaching is aimed at helping students learn and better their martial arts. His hands on approach is tailored to each students strengths and/or weaknesses taking time to really ensure everyone that attends the gym classes improves as fighters. The Gym is new, clean and has great quality equipment to borrow. Franz creates a friendly welcoming environment but also commands discipline and punctuality as a coach so that his students can experience the best results to grow into fighters that can achieve their goals and one day step in the ring."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Viniccius Marangoni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURIdUl6MlJBEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDHuIz2RA%7CCgwIp9eKtwYQyNWopgI%7C?hl=en","Great gym for people who want to learn Muay Thai or Boxing, from beginners to advanced. Coach Franz has many years of experience. I improved so much since I joined the team."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Christian Gamallo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIMkw3YTdnRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH2L7a7gE%7CCgwIl66KtwYQ6MbyzQE%7C?hl=en","A place for all levels whether your curious to try or aiming to further your skills. TSL and Coach Sanchez really care about nurturing and honing in on your muay thai journey sharing wisdom from a decorated professional career. A great place for learning and loving muay thai and boxing for everyone!"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Qi Schembri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURINlBDYU9BEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH6PCaOA%7CCgsI9Y-JtwYQyPalUw%7C?hl=en","Great gym, highly recommended for martial arts lovers or just for fitness.
The gym is always clean, Franz the head coach is always there to help you improve your skills. Absolutely love it!"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","michael reed","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURIcU4zUkNREAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDHqN3RCQ%7CCgwIxPaItwYQ-MzVtQE%7C?hl=en","When I changed jobs I could no longer attend classes as I had gone to night shift. Explained this to Franz,and instead of wishing me well and sending me on my way,he accommodated me and got me doing different times to suit my situation.  I find the workouts exhausting and tough and Franz an amazing teacher. Some people can teach and some can't. Franz is the former. His gym is clean and tidy. The gear is top notch. HIGHLY recommend coming down, and EMBRACE THE PAIN ,LOL, yes it's GOING TO BE TOUGH,but with Franz, you'll get this done. You'll feel confident and strong in your Daily life....promise.⚡️⚡️⚡️🎵🎵🎵"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","DropBearMan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURINE0tZWJ3EAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH4M-ebw%7CCgwIs9iFtwYQ2OC63AM%7C?hl=en","Great gym atmosphere, Other trainees are very supportive. Awesome place to start training at for a beginner like myself 💪🏾"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Dean A","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURINE92RjZBRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH4OvF6AE%7CCgsI6tGFtwYQuIfWcA%7C?hl=en",
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Geetinder Singh","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURINE9uYlR3EAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH4OnbTw%7CCgwI58KFtwYQ6NOwpwI%7C?hl=en","Knowledgeable coach, good vibes and a supportive environment."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Jackielou Sanchez","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNIXzRmMTdRRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICH_4f17QE%7CCgwI1KqDtwYQ0OucoQE%7C?hl=en",
